player_name,position,player_rank,tier,ownership_pct,contrarian_score,play_type,date_collected,recommendation,projected_points,estimated_salary,points_per_dollar,tournament_fit,risk_level,week,season,lineup_strategy,stacking_advice
Cooper Kupp,WR,1,1,25.9,148.2,CHALK_PLAY,2025-08-17,📍 CHALK: Rank 1 but 25.9% owned - cash game only,23.5,8950,2.626,CASH_GAME,LOW_RISK,Week 1,2025,SAFE_BUT_HIGH_OWNED,STACK_WITH_QB_IF_CONTRARIAN
Davante Adams,WR,2,1,16.8,146.4,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 2 at 16.8% owned - GPP play,20.0,8400,2.381,GOOD_GPP,LOW_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,STACK_WITH_QB_IF_CONTRARIAN
George Kittle,TE,3,2,7.2,145.6,SMASH_PLAY,2025-08-17,🔥 SMASH: Top 3 player at only 7.2% owned!,13.0,5700,2.281,PREMIUM_GPP,MEDIUM_RISK,Week 1,2025,BUILD_AROUND_THIS_PLAYER,PAIRS_WELL_WITH_CONTRARIAN_QB
Derrick Henry,RB,3,1,8.1,143.8,SMASH_PLAY,2025-08-17,🔥 SMASH: Top 3 player at only 8.1% owned!,20.0,8300,2.41,PREMIUM_GPP,MEDIUM_RISK,Week 1,2025,BUILD_AROUND_THIS_PLAYER,GAME_SCRIPT_DEPENDENT
Austin Ekeler,RB,2,1,18.4,143.2,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 2 at 18.4% owned - GPP play,24.0,8900,2.697,GOOD_GPP,LOW_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,GAME_SCRIPT_DEPENDENT
Josh Allen,QB,1,1,28.7,142.6,CHALK_PLAY,2025-08-17,📍 CHALK: Rank 1 but 28.7% owned - cash game only,40.0,8500,4.706,CASH_GAME,LOW_RISK,Week 1,2025,SAFE_BUT_HIGH_OWNED,STACK_WITH_TOP_WR_FROM_SAME_TEAM
Christian McCaffrey,RB,1,1,31.2,137.6,CHALK_PLAY,2025-08-17,📍 CHALK: Rank 1 but 31.2% owned - cash game only,28.0,9500,2.947,AVOID_HIGH_OWNED,LOW_RISK,Week 1,2025,SAFE_BUT_HIGH_OWNED,GAME_SCRIPT_DEPENDENT
Tyreek Hill,WR,3,1,11.3,137.4,SMASH_PLAY,2025-08-17,🔥 SMASH: Top 3 player at only 11.3% owned!,16.5,7850,2.102,GOOD_GPP,MEDIUM_RISK,Week 1,2025,BUILD_AROUND_THIS_PLAYER,STACK_WITH_QB_IF_CONTRARIAN
Mark Andrews,TE,2,1,22.3,135.4,NEUTRAL,2025-08-17,😐 NEUTRAL: Standard play - rank 2 at 22.3% owned,16.0,6100,2.623,CASH_GAME,LOW_RISK,Week 1,2025,STANDARD_PLAY,PAIRS_WELL_WITH_CONTRARIAN_QB
Lamar Jackson,QB,3,1,12.7,134.6,SMASH_PLAY,2025-08-17,🔥 SMASH: Top 3 player at only 12.7% owned!,30.0,7500,4.0,GOOD_GPP,MEDIUM_RISK,Week 1,2025,BUILD_AROUND_THIS_PLAYER,STACK_WITH_TOP_WR_FROM_SAME_TEAM
Patrick Mahomes,QB,2,1,24.3,131.4,NEUTRAL,2025-08-17,😐 NEUTRAL: Standard play - rank 2 at 24.3% owned,35.0,8000,4.375,CASH_GAME,LOW_RISK,Week 1,2025,STANDARD_PLAY,STACK_WITH_TOP_WR_FROM_SAME_TEAM
Travis Kelce,TE,1,1,35.1,129.8,CHALK_PLAY,2025-08-17,📍 CHALK: Rank 1 but 35.1% owned - cash game only,19.0,6500,2.923,AVOID_HIGH_OWNED,LOW_RISK,Week 1,2025,SAFE_BUT_HIGH_OWNED,PAIRS_WELL_WITH_CONTRARIAN_QB
T.J. Hockenson,TE,4,2,11.4,117.2,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 4 at 11.4% owned - GPP play,10.0,5300,1.887,GOOD_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,PAIRS_WELL_WITH_CONTRARIAN_QB
Jonathan Taylor,RB,4,2,13.6,112.8,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 4 at 13.6% owned - GPP play,16.0,7700,2.078,GOOD_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,GAME_SCRIPT_DEPENDENT
Stefon Diggs,WR,4,2,14.1,111.8,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 4 at 14.1% owned - GPP play,13.0,7300,1.781,GOOD_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,STACK_WITH_QB_IF_CONTRARIAN
Kyle Pitts,TE,5,2,5.8,108.4,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 5 at 5.8% owned - GPP play,7.0,4900,1.429,PREMIUM_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,PAIRS_WELL_WITH_CONTRARIAN_QB
Joe Burrow,QB,5,2,8.9,102.2,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 5 at 8.9% owned - GPP play,20.0,6500,3.077,PREMIUM_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,STACK_WITH_TOP_WR_FROM_SAME_TEAM
Jalen Hurts,QB,4,2,19.2,101.6,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 4 at 19.2% owned - GPP play,25.0,7000,3.571,GOOD_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,STACK_WITH_TOP_WR_FROM_SAME_TEAM
CeeDee Lamb,WR,5,2,9.7,100.6,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 5 at 9.7% owned - GPP play,9.5,6750,1.407,PREMIUM_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,STACK_WITH_QB_IF_CONTRARIAN
Saquon Barkley,RB,5,2,16.9,86.2,LEVERAGE_PLAY,2025-08-17,⚡ LEVERAGE: Rank 5 at 16.9% owned - GPP play,12.0,7100,1.69,GOOD_GPP,HIGH_RISK,Week 1,2025,GREAT_TOURNAMENT_PLAY,GAME_SCRIPT_DEPENDENT
